# t        y        y_fit        sigma
0.00000000 6.01339186 6.06460653 0.10000000
1.00000000 5.51537699 5.56602975 0.10000000
2.00000000 5.26109461 5.11672178 0.10000000
3.00000000 4.77745521 4.71181394 0.10000000
4.00000000 4.45135269 4.34691866 0.10000000
5.00000000 3.90490309 4.01808193 0.10000000
6.00000000 3.50438665 3.72174048 0.10000000
7.00000000 3.41499850 3.45468318 0.10000000
8.00000000 3.24273569 3.21401619 0.10000000
9.00000000 3.12220385 2.99713165 0.10000000
10.00000000 2.83763243 2.80167941 0.10000000
11.00000000 2.53469973 2.62554154 0.10000000
12.00000000 2.43917301 2.46680943 0.10000000
13.00000000 2.38082984 2.32376305 0.10000000
14.00000000 2.31608990 2.19485236 0.10000000
15.00000000 2.06082595 2.07868048 0.10000000
16.00000000 1.94567944 1.97398859 0.10000000
17.00000000 1.91412647 1.87964223 0.10000000
18.00000000 1.75950907 1.79461907 0.10000000
19.00000000 1.66506686 1.71799782 0.10000000
20.00000000 1.73792642 1.64894819 0.10000000
21.00000000 1.57552330 1.58672197 0.10000000
22.00000000 1.52506645 1.53064488 0.10000000
23.00000000 1.40960675 1.48010927 0.10000000
24.00000000 1.39520922 1.43456753 0.10000000
25.00000000 1.41688652 1.39352617 0.10000000
26.00000000 1.37604228 1.35654048 0.10000000
27.00000000 1.26095487 1.32320967 0.10000000
28.00000000 1.28962704 1.29317258 0.10000000
29.00000000 1.42267218 1.26610372 0.10000000
30.00000000 1.22828744 1.24170978 0.10000000
31.00000000 1.19917628 1.21972642 0.10000000
32.00000000 1.18998922 1.19991543 0.10000000
33.00000000 0.93007612 1.18206214 0.10000000
34.00000000 1.22460820 1.16597309 0.10000000
35.00000000 1.14737593 1.15147395 0.10000000
36.00000000 1.11400136 1.13840759 0.10000000
37.00000000 1.19511785 1.12663244 0.10000000
38.00000000 1.26958055 1.11602090 0.10000000
39.00000000 1.06198217 1.10645798 0.10000000
