# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.0100003    2001    2007     -2.94       139     104
    2    0.0300002    2033    1940     -2.82       100      86
    3    0.0500003    1969    1931      -2.7       132     141
    4    0.0700001    2070    2069     -2.58       201     197
    5    0.0900001    2018    1986     -2.46       264     203
    6     0.11    1905    2002     -2.34       315     320
    7     0.13    1955    1999     -2.22       400     435
    8     0.15    2053    2002      -2.1       509     518
    9     0.17    2046    1992     -1.98       696     633
   10     0.19    2016    2078     -1.86       837     840
   11     0.21    1989    2033     -1.74      1141    1047
   12     0.23    1984    1984     -1.62      1323    1311
   13     0.25    1957    1954      -1.5      1540    1543
   14     0.27    2049    1978     -1.38      1872    1985
   15     0.29    2011    1991     -1.26      2190    2128
   16     0.31    1997    1985     -1.14      2451    2559
   17     0.33    2007    1888     -1.02      2817    2759
   18     0.35    2112    2043      -0.9      3178    3151
   19     0.37    2013    1987     -0.78      3532    3481
   20     0.39    2025    2029     -0.66      3815    3842
   21     0.41    2067    2013     -0.54      4132    4172
   22     0.43    2040    2009     -0.42      4290    4390
   23     0.45    1939    1994      -0.3      4540    4624
   24     0.47    1953    2020     -0.18      4670    4690
   25     0.49    2006    2087     -0.06      4676    4891
   26     0.51    1976    1999      0.06      4800    4758
   27     0.53    1975    2062      0.18      4660    4658
   28     0.55    1958    1969       0.3      4592    4604
   29     0.57    1969    2001      0.42      4413    4315
   30     0.59    2021    2000      0.54      4126    4170
   31     0.61    2037    1993      0.66      3904    3911
   32     0.63    1977    2014      0.78      3561    3419
   33     0.65    1945    1921       0.9      3148    3155
   34     0.67    1992    2000      1.02      2870    2938
   35     0.69    1959    1984      1.14      2546    2477
   36     0.71    2045    2026      1.26      2158    2169
   37     0.73    2038    1964      1.38      1878    1797
   38     0.75    1984    1961       1.5      1570    1552
   39     0.77    1982    2008      1.62      1337    1296
   40     0.79    1990    2046      1.74      1054    1052
   41     0.81    1992    1998      1.86       858     804
   42     0.83    1991    1998      1.98       694     685
   43     0.85    1973    2020       2.1       517     572
   44     0.87    1999    2024      2.22       422     387
   45     0.89    2092    2116      2.34       330     337
   46     0.91    1964    1996      2.46       222     252
   47     0.93    2024    2030      2.58       182     177
   48     0.95    1924    1920     2.70001       123     139
   49     0.97    1980    1980     2.82002        92      98
   50     0.99    1998    1969     2.94006        66     100
